,Cost,Currency,Date,Description,Category,Group ID,Payment,Owe,Source
356,Dining out,1.6,GBP,2017-11-27,Lunch,,,0.0,splitwise
357,Dining out,1.6,GBP,2017-11-28,Lunch,,,0.0,splitwise
358,Dining out,1.6,GBP,2017-11-29,Lunch,,,0.0,splitwise
359,Rent,450.0,GBP,2017-11-30,Rent,,,0.0,splitwise
360,Electricity,0.0,GBP,2017-12-01,Gas + electricity,,,0.0,splitwise
361,Movies,,GBP,2017-12-01,Netflix,,,0.0,splitwise
362,Dining out,1.6,GBP,2017-12-01,Lunch,,,0.0,splitwise
363,Groceries,0.0,GBP,2017-12-02,Asda,,,0.0,splitwise
364,Household supplies,0.0,GBP,2017-12-02,Dishwasher tablets,,,0.0,splitwise
365,Sports,5.3,GBP,2017-12-02,Climbing,,,0.0,splitwise
366,General,0.0,GBP,2017-12-02,Payment,,,1.0,splitwise
367,Parking,1.05,GBP,2017-12-02,Parking ,,,0.0,splitwise
368,Gas/fuel,15.03,GBP,2017-12-04,Fuel,,,0.0,splitwise
369,Taxes,114.0,GBP,2017-12-05,Council tax ,,,0.0,splitwise
370,Dining out,1.8,GBP,2017-12-06,Lunch ,,,0.0,splitwise
371,Groceries,0.0,GBP,2017-12-06,"Bread, bananas ",,,0.0,splitwise
372,General,51.3,GBP,2017-12-06,Payment,,,1.0,splitwise
373,Groceries,0.0,GBP,2017-12-07,Milk,,,0.0,splitwise
374,Dining out,1.6,GBP,2017-12-08,Lunch,,,0.0,splitwise
375,Gas/fuel,10.0,GBP,2017-12-08,Fuel,,,0.0,splitwise
376,TV/Phone/Internet,0.0,GBP,2017-12-10,Broadband,,,0.0,splitwise
377,Gas/fuel,33.31,GBP,2017-12-11,Fuel ,,,0.0,splitwise
378,Dining out,0.0,GBP,2017-12-11,Domino's,,,0.0,splitwise
379,Dining out,4.9,GBP,2017-12-11,Lunch,,,0.0,splitwise
380,TV/Phone/Internet,7.5,GBP,2017-12-11,GiffGaff mobile,,,0.0,splitwise
381,Dining out,5.7,GBP,2017-12-12,Lunch ,,,0.0,splitwise
382,Movies,0.0,GBP,2017-12-12,The Disaster Artist ,,,0.0,splitwise
383,Parking,3.0,GBP,2017-12-12,Parking,,,0.0,splitwise
384,Music,0.0,GBP,2017-12-12,The Scottish fiddle orchestra,,,0.0,splitwise
385,Cleaning,0.0,GBP,2017-12-13,Mildew killer,,,0.0,splitwise
386,Other,0.0,GBP,2017-12-13,Moisturiser,,,0.0,splitwise
387,Dining out,3.1,GBP,2017-12-13,Lunch,,,0.0,splitwise
388,Groceries,17.69,GBP,2017-12-13,Asda,,,0.0,splitwise
389,Dining out,3.1,GBP,2017-12-14,Lunch,,,0.0,splitwise
390,Water,0.0,GBP,2017-12-14,Water,,,0.0,splitwise
391,Dining out,0.0,GBP,2017-12-14,Maharani,,,0.0,splitwise
392,Dining out,0.0,GBP,2017-12-14,Maharani delivery,,,0.0,splitwise
393,Groceries,3.34,GBP,2017-12-15,Asda,,,0.0,splitwise
394,Gifts,5.0,GBP,2017-12-15,Save the Children charity ,,,0.0,splitwise
395,Movies,0.0,GBP,2017-12-16,The Last Jedi,,,0.0,splitwise
396,General,0.0,GBP,2017-12-17,Payment,,,1.0,splitwise
397,General,0.0,GBP,2017-12-17,Payment,,,1.0,splitwise
398,Parking,3.0,GBP,2017-12-17,Parking,,,0.0,splitwise
399,Sports,0.0,GBP,2017-12-17,Ice skating,,,0.0,splitwise
400,Parking,3.1,GBP,2017-12-17,Parking,,,0.0,splitwise
401,Dining out,60.0,GBP,2017-12-17,Pizza Express ,,,0.0,splitwise
402,Dining out,0.0,GBP,2017-12-18,Pizza,,,0.0,splitwise
403,General,0.0,GBP,2017-12-19,Payment,,,1.0,splitwise
404,Dining out,9.0,GBP,2017-12-20,Falafel wraps,,,0.0,splitwise
405,Dining out,1.6,GBP,2017-12-20,Lunch ,,,0.0,splitwise
406,Gifts,3.0,GBP,2017-12-21,WWF Adopt an elephant,,,0.0,splitwise
407,Gifts,5.49,GBP,2017-12-21,Phone case ,,,0.0,splitwise
408,Bus/train,5.0,GBP,2017-12-21,Oyster card topup,,,0.0,splitwise
409,Gifts,29.97,GBP,2017-12-21,Spotify for Ananya ,,,0.0,splitwise
410,Gifts,69.0,GBP,2017-12-21,Lamborghini experience for Baba ,,,0.0,splitwise
411,Clothing,11.6,GBP,2017-12-26,Next,,,0.0,splitwise
412,Clothing,40.7,GBP,2017-12-26,ASOS,,,0.0,splitwise
413,,37.91,GBP,2018-02-17,Amazon,,,,starling
414,,14.05,GBP,2018-02-17,Mastercard,,,,starling
415,,27.25,GBP,2018-02-17,ING,,,,starling
416,,5.75,GBP,2018-02-17,Mastercard,,,,starling
417,,2.76,GBP,2018-02-17,Yorkshire Bank III,,,,starling
418,,15.19,GBP,2018-02-17,External Payment,,,,starling
419,,30.46,GBP,2018-02-17,Sofitel,,,,starling
420,,23.57,GBP,2018-02-17,External Payment,,,,starling
421,,17.98,GBP,2018-02-17,External Payment,,,,starling
422,,24.21,GBP,2018-02-17,External Payment,,,,starling
423,,6.78,GBP,2018-02-17,Mastercard,,,,starling
424,,12.22,GBP,2018-02-17,Mastercard,,,,starling
425,,3.03,GBP,2018-02-17,Pret A Manger,,,,starling
426,,13.2,GBP,2018-02-17,Villandry,,,,starling
427,,7.63,GBP,2018-02-17,ING,,,,starling
428,,30.6,GBP,2018-02-17,External Payment,,,,starling
429,,8.63,GBP,2018-02-17,External Payment,,,,starling
430,,24.13,GBP,2018-02-17,Sofitel,,,,starling
431,,10.2,GBP,2018-02-17,Yorkshire Bank III,,,,starling
